time_s,position_m,velocity_m_per_s,acceleration_m_per_s2,
0.000000,0.000000,0.000000,0.000000,
0.005000,0.000125,0.025000,5.000000,
0.010000,0.000375,0.050000,5.000000,
0.015000,0.000750,0.075000,5.000000,
0.020000,0.001250,0.100000,5.000000,
0.025000,0.001875,0.125000,5.000000,
0.030000,0.002625,0.150000,5.000000,
0.035000,0.003500,0.175000,5.000000,
0.040000,0.004500,0.200000,5.000000,
0.045000,0.005625,0.225000,5.000000,
0.050000,0.006875,0.250000,5.000000,
0.055000,0.008250,0.275000,5.000000,
0.060000,0.009750,0.300000,5.000000,
0.065000,0.011375,0.325000,5.000000,
0.070000,0.013125,0.350000,5.000000,
0.075000,0.015000,0.375000,5.000000,
0.080000,0.017000,0.400000,5.000000,
0.085000,0.019125,0.425000,5.000000,
0.090000,0.021375,0.450000,5.000000,
0.095000,0.023750,0.475000,5.000000,
0.100000,0.026250,0.500000,5.000000,
0.105000,0.028875,0.525000,5.000000,
0.110000,0.031625,0.550000,5.000000,
0.115000,0.034500,0.575000,5.000000,
0.120000,0.037500,0.600000,5.000000,
0.125000,0.040625,0.625000,5.000000,
0.130000,0.043875,0.650000,5.000000,
0.135000,0.047250,0.675000,5.000000,
0.140000,0.050750,0.700000,5.000000,
0.145000,0.054375,0.725000,5.000000,
0.150000,0.058125,0.750000,5.000000,
0.155000,0.062000,0.775000,5.000000,
0.160000,0.066000,0.800000,5.000000,
0.165000,0.070125,0.825000,5.000000,
0.170000,0.074375,0.850000,5.000000,
0.175000,0.078750,0.875000,5.000000,
0.180000,0.083250,0.900000,5.000000,
0.185000,0.087875,0.925000,5.000000,
0.190000,0.092625,0.950000,5.000000,
0.195000,0.097500,0.975000,5.000000,
0.200000,0.102500,1.000000,5.000000,
0.205000,0.107625,1.025000,5.000000,
0.210000,0.112875,1.050000,5.000000,
0.215000,0.118250,1.075000,5.000000,
0.220000,0.123750,1.100000,5.000000,
0.225000,0.129375,1.125000,5.000000,
0.230000,0.135125,1.150000,5.000000,
0.235000,0.141000,1.175000,5.000000,
0.240000,0.147000,1.200000,5.000000,
0.245000,0.153125,1.225000,5.000000,
0.250000,0.159375,1.250000,5.000000,
0.255000,0.165750,1.275000,5.000000,
0.260000,0.172250,1.300000,5.000000,
0.265000,0.178875,1.325000,5.000000,
0.270000,0.185625,1.350000,5.000000,
0.275000,0.192500,1.375000,5.000000,
0.280000,0.199500,1.400000,5.000000,
0.285000,0.206625,1.425000,5.000000,
0.290000,0.213875,1.450000,5.000000,
0.295000,0.221250,1.475000,5.000000,
0.300000,0.228750,1.500000,5.000000,
0.305000,0.236375,1.525000,5.000000,
0.310000,0.244125,1.550000,5.000000,
0.315000,0.252000,1.575000,5.000000,
0.320000,0.260000,1.600000,5.000000,
0.325000,0.268125,1.625000,5.000000,
0.330000,0.276375,1.650000,5.000000,
0.335000,0.284750,1.675000,5.000000,
0.340000,0.293250,1.700000,5.000000,
0.345000,0.301875,1.725000,5.000000,
0.350000,0.310625,1.750000,5.000000,
0.355000,0.319500,1.775000,5.000000,
0.360000,0.328500,1.800000,5.000000,
0.365000,0.337625,1.825000,5.000000,
0.370000,0.346875,1.850000,5.000000,
0.375000,0.356250,1.875000,5.000000,
0.380000,0.365750,1.900000,5.000000,
0.385000,0.375375,1.925000,5.000000,
0.390000,0.385125,1.950000,5.000000,
0.395000,0.395000,1.975000,5.000000,
0.400000,0.405000,2.000000,5.000000,
0.405000,0.415125,2.025000,5.000000,
0.410000,0.425375,2.050000,5.000000,
0.415000,0.435750,2.075000,5.000000,
0.420000,0.446250,2.100000,5.000000,
0.425000,0.456875,2.125000,5.000000,
0.430000,0.467625,2.150000,5.000000,
0.435000,0.478500,2.175000,5.000000,
0.440000,0.489500,2.200000,5.000000,
0.445000,0.500625,2.225000,5.000000,
0.450000,0.511875,2.250000,5.000000,
0.455000,0.523250,2.275000,5.000000,
0.460000,0.534750,2.300000,5.000000,
0.465000,0.546375,2.325000,5.000000,
0.470000,0.558125,2.350000,5.000000,
0.475000,0.570000,2.375000,5.000000,
0.480000,0.582000,2.400000,5.000000,
0.485000,0.594125,2.425000,5.000000,
0.490000,0.606375,2.450000,5.000000,
0.495000,0.618750,2.475000,5.000000,
0.500000,0.631250,2.500000,5.000000,
0.505000,0.643875,2.525000,5.000000,
